Frame number,158
First frame,183
Point frequency,100
Analog frequency,200

Time,RHEE,,,RTOE,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,RPelvisAngles,,,RFootProgressAngles,,,LKneeMoment,,,RHipMoment,,,LHipMoment,,,RHipPower,,,RKneePower,,,RAnklePower,,
s,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,W,W,W,W,W,W,W,W,W
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
2.06,69.1935,-104.403,71.5575,131.431,66.615,69.2027,43.408,5.26471,-11.8267,40.7707,-8.80783,22.501,9.13943,5.91749,-27.3997,8.1068,0,0,11.5631,-1.14398,-6.35912,-87.8601,-0.161713,-17.396,-8.38186,8.86074,0.703425,-98.1322,101.657,-48.6706,-6.65556,-10.5901,0.734462,0,0,-0.0851213,0,0,0.368742,0,0,-0.00319073
2.07,74.8675,-68.0057,62.4142,137.519,102.749,70.7184,43.0193,5.43344,-11.9144,36.353,-8.56376,19.0901,8.48886,4.97729,-23.9095,7.75571,0,0,11.7264,-1.02246,-6.39022,-91.4495,-0.59393,-18.0789,-9.25687,10.946,0.588106,-63.7908,123.574,-51.338,-8.50156,-9.47093,0.543859,0,0,-0.0721217,0,0,0.210167,0,0,-0.00588456
2.08,81.2756,-31.5586,54.6701,143.856,138.45,73.7558,42.4406,5.57044,-11.9093,31.654,-8.23475,15.5939,7.82039,4.04259,-20.2364,7.33492,0,0,11.901,-0.908853,-6.39256,-95.0882,-1.0458,-18.5758,-10.1928,13.4116,0.370205,-5.23209,138.001,-47.489,-9.19841,-7.42729,0.212664,0,0,-0.00082996,0,0,-0.144384,0,0,-0.00660888
2.09,88.2705,4.62098,48.4831,150.331,173.439,78.3695,41.6874,5.67012,-11.7703,26.7476,-7.80448,12.1559,7.15683,3.15192,-16.5619,6.85844,0,0,12.0836,-0.801427,-6.36622,-98.7361,-1.49698,-18.857,-11.0351,16.2518,0.0497398,75.8197,136.568,-35.2143,-8.76433,-4.42662,-0.280977,0,0,0.131168,0,0,-0.721218,0,0,-0.00403836
2.1,95.6502,40.0852,43.9058,156.76,207.338,84.4575,40.7931,5.73003,-11.4714,21.7524,-7.28332,8.91546,6.51557,2.33638,-13.0657,6.3462,0,0,12.2684,-0.697153,-6.31274,-102.327,-1.92493,-18.8971,-11.8788,19.5513,-0.347391,171.11,115.565,-16.3608,-6.57048,-0.362946,-0.925916,0,0,0.297156,0,0,-1.47213,0,0,0.00181723
2.11,103.168,74.2418,40.844,162.895,239.665,91.7193,39.8114,5.75256,-11.0105,16.8357,-6.71148,5.97804,5.91653,1.61412,-9.88139,5.82845,0,0,12.4475,-0.591606,-6.23516,-105.771,-2.30641,-18.6795,-12.6439,23.2441,-0.768575,268.324,78.2212,4.42023,-2.98734,4.55072,-1.68937,0,0,0.450339,0,0,-2.25737,0,0,0.00926558
2.12,110.561,106.367,39.0357,168.459,269.844,99.6316,38.8137,5.74665,-10.4134,12.2107,-6.15409,3.39431,5.38952,0.98679,-7.0627,5.34852,0,0,12.6111,-0.479056,-6.13808,-108.957,-2.62177,-18.2,-13.6596,27.2673,-1.14575,356.867,34.0159,22.6654,2.14896,9.85843,-2.48831,0,0,0.547281,0,0,-2.86817,0,0,0.0153804
2.13,117.591,135.648,38.0654,173.205,297.242,107.461,37.883,5.72891,-9.73254,8.12159,-5.68716,1.15956,4.9749,0.440435,-4.57836,4.95899,0,0,12.7484,-0.352783,-6.02738,-111.766,-2.85959,-17.4705,-15.0366,31.3668,-1.3976,430.311,-5.8585,36.6098,7.49611,14.6539,-3.21712,0,0,0.563004,0,0,-3.08056,0,0,0.0170506
2.14,124.095,161.266,37.4229,176.971,321.24,114.325,37.1008,5.72316,-9.03701,4.81439,-5.37967,-0.768986,4.71194,-0.0487286,-2.33871,4.70801,0,0,12.8487,-0.205529,-5.90989,-114.074,-3.01885,-16.5191,-17.2261,35.2277,-1.45506,488.105,-33.6262,47.1394,12.1703,17.7813,-3.72542,0,0,0.497159,0,0,-2.74697,0,0,0.0121171
2.15,130.023,182.513,36.6023,179.724,341.35,119.309,36.5305,5.75736,-8.39373,2.49424,-5.27847,-2.44478,4.61656,-0.504142,-0.246848,4.61651,0,0,12.9027,-0.0302035,-5.79278,-115.759,-3.10751,-15.3896,-20.5015,38.3134,-1.26497,533.894,-47.6687,55.6348,14.6517,17.5589,-3.84062,0,0,0.370786,0,0,-1.89344,0,0,0.00094361
