Frame number,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First frame,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point frequency,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analog frequency,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,RHEE,,,RTOE,,,RHipAngles,,,RKneeAngles,,,RAnkleAngles,,,RAbsAnkleAngle,,,RPelvisAngles,,,RFootProgressAngles,,,RAnkleMoment,,,RKneeMoment,,,RHipMoment,,,RHipPower,,,RKneePower,,,RAnklePower,,
s,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,Nmm,W,W,W,W,W,W,W,W,W
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
4.14,105.929,171.104,29.0393,159.194,332.236,104.493,36.3343,3.84172,-10.9641,10.9132,-6.27001,1.0363,7.84616,0.252581,-3.71958,7.82954,0,0,9.73224,-0.680298,-4.29812,-113.27,-3.65639,-16.5328,-0.0467194,-7.88E-16,1.05361,-422.638,23.1618,1.04399,566.805,16.1163,40.4585,0,0,0.7153,0,0,-1.76789,0,0,-0.00374725
4.15,112.193,189.026,27.499,161.973,350.024,106.869,35.5268,3.7696,-10.1906,8.67499,-6.04735,-0.694632,7.51321,-0.157243,-1.84064,7.50931,0,0,9.7213,-0.503309,-3.94726,-114.473,-3.75222,-15.3805,6.2754,-1.18E-15,2.7099,-443.678,16.1912,2.64316,594.735,-17.0374,47.1917,0,0,0.730953,0,0,-1.527,0,0,-0.00365088
4.16,117.738,203.768,26.0419,164.163,364.992,107.659,34.7359,3.71723,-9.39379,6.88874,-5.89939,-2.11386,7.1715,-0.472577,-0.391924,7.17135,0,0,9.71613,-0.308982,-3.5847,-115.196,-3.77495,-14.2662,13.3877,2.36E-15,4.45052,-439.458,7.81501,4.29454,582.991,-48.171,50.0896,0,0,0.695766,0,0,-1.1755,0,0,0.00193849
4.17,122.454,215.375,24.7104,165.842,377.23,106.515,33.9679,3.69842,-8.57566,5.55897,-5.80465,-3.23115,6.69579,-0.685156,0.585117,6.69544,0,0,9.71907,-0.092758,-3.21863,-115.326,-3.70917,-13.2697,19.9361,-2.63E-16,5.97134,-407.436,-1.61169,5.71724,527.901,-73.5184,48.9803,0,0,0.614799,0,0,-0.78994,0,0,0.0169488
4.18,126.285,224.07,23.6187,167.129,387.017,103.207,33.222,3.7273,-7.73256,4.65271,-5.73747,-4.09112,5.92125,-0.794585,1.08797,5.92018,0,0,9.73191,0.150262,-2.85801,-114.74,-3.53328,-12.4615,23.7985,5.25E-16,6.89149,-350.064,-11.1573,6.57259,434.453,-90.4718,44.1593,0,0,0.500754,0,0,-0.450097,0,0,0.0405451
4.19,129.227,230.248,22.9166,168.155,394.803,97.7104,32.4918,3.81704,-6.8581,4.10277,-5.67193,-4.76647,4.69111,-0.809537,1.15666,4.69017,0,0,9.75551,0.424956,-2.51236,-113.347,-3.23296,-11.8877,22.6323,-1.84E-15,6.85236,-274.288,-19.5373,6.54755,314.649,-97.7714,36.3079,0,0,0.367915,0,0,-0.206871,0,0,0.0602763
4.2,131.34,234.436,22.7363,169.033,401.137,90.2764,31.7673,3.97864,-5.94765,3.81801,-5.58588,-5.34344,2.92176,-0.747567,0.871921,2.92143,0,0,9.78949,0.735882,-2.19133,-111.146,-2.81346,-11.5551,14.8116,1.31E-15,5.69171,-190.135,-25.5621,5.50238,185.673,-95.7574,26.4926,0,0,0.230278,0,0,-0.0684023,0,0,0.0536148
4.21,132.737,237.218,23.1438,169.821,406.557,81.4445,31.0378,4.21971,-5.00229,3.69969,-5.46462,-5.90152,0.663225,-0.633052,0.345648,0.663215,0,0,9.83238,1.08663,-1.90421,-108.271,-2.30377,-11.4229,0.59694,-1.71E-15,3.61803,-108.016,-28.358,3.61101,64.2657,-85.6324,16.0575,0,0,0.098771,0,0,-0.00915833,0,0,0.00574243
4.22,133.582,239.137,24.1105,170.514,411.468,71.9843,30.2946,4.54395,-4.0324,3.66024,-5.30289,-6.49237,-1.87917,-0.493142,-0.297404,-1.87915,0,0,9.88162,1.47941,-1.65921,-105.002,-1.7508,-11.4118,-17.1287,-3.28E-16,1.30933,-37.7114,-27.1279,1.453,-34.4488,-68.7572,6.60977,0,0,-0.0155664,0,0,0.00690208,0,0,-0.0685519
4.23,134.053,240.614,25.513,171.065,416.062,62.7598,29.5333,4.95103,-3.05867,3.63898,-5.10412,-7.12576,-4.39263,-0.351127,-0.950056,-4.39202,0,0,9.93398,1.91453,-1.46278,-101.708,-1.20748,-11.4337,-33.8401,9.28E-16,-0.361095,13.1322,-21.2149,-0.196231,-99.8481,-46.55,-0.352969,0,0,-0.10245,0,0,0.00708867,0,0,-0.12885
